synset_id,ar_words,en_words,ar_def_len,en_def_len,ratio,ar_def,en_def
awn3-00958596-n,مُقَاوَمَة,pitched battle,30,107,0.28,عمل عسكري غايتة وقف تقدم العدو,a fierce battle fought in close combat between troops in predetermined positions
awn3-00962962-n,مُنَاوَرَة تدريبية,stand,69,18,3.83,عملية عسكرية يقوم بها فرق من الجيش يقاتل بعضها بعضاً على سبيل التدريب,a defensive effort
awn3-00970819-n,بِعْثَة عَسْكَرِيَّة,Crusade,50,167,0.3,حملة عسكرية تهدف إلى تحقيق غاية معينة في بلد أجنبي,any of the more or less continuous military expeditions in the 11th to 13th cent
awn3-00979039-n,تَسَلُّل,"foray, raid, maraud",108,21,5.14,عملية اختراق أشخاص أو مجموعات صغيرة لمنطقة ما بشكل سري (خصوصاً الاختراق العسكري ,a sudden short attack
awn3-00979387-n,"غَارَة, غَزْوَة",strike,16,80,0.2,هجوم قصير ومفاجئ,an attack that is intended to seize or inflict damage on or destroy an objective
awn3-00988361-n,مَهَمَّة اِسْتِطْلاعِيَّة,counterintelligence,61,213,0.29,مهمة للتحري واستطلاع الحقائق والأخبار خاصةً فيما يتعلق بالعدو,intelligence activities concerned with identifying and counteracting the threat 
awn3-00997220-n,نَار مِدْفَعِيَّة,"electronic countermeasures, ECM",25,107,0.23,النار المطلقة من المدفعية,electronic warfare undertaken to prevent or reduce an enemy's effective use of t
awn3-01025578-n,بَقَاء,procedure,15,56,0.27,السلامة والنجاة,a mode of conducting legal and parliamentary proceedings
awn3-01036957-n,طَقْس دِينِيّ,sacrament,62,379,0.16,طقس أو مجموعة من الطقوس المتبعة عند المسيحية في العبادة العامة,a formal religious ceremony conferring a specific grace on those who receive it;
awn3-01039028-n,سِرّ,"marriage, wedding, marriage ceremony",240,41,5.85,النعمة الإلهية السرية التي يتلقاها المؤمن من الرب بشكل سري بعد تقبله الالتزام بت,the act of marrying; the nuptial ceremony
awn3-01063257-n,ريّ,demand,67,20,3.35,تزويد الأراضي الجافة بالمياه عبر قنوات الري وغيرها من وسائل السقاية,the act of demanding
awn3-01071904-n,إنكار الذات,"fast, fasting",75,20,3.75,عملية تدريب النفس على التخلي عن الملذات والتحكم بالدوافع للوصول إلى الغايات,abstaining from food
awn3-01077041-n,إِغْلاق,"siege, besieging, beleaguering",23,104,0.22,عملية الحجب ومنع المرور,the action of an armed force that surrounds a fortified place and isolates it wh
awn3-01078412-n,إِيقاف,deterrence,24,107,0.22,عملية تعطيل أو إنهاء شيء,the act or process of discouraging actions or preventing occurrences by instilli
awn3-01138273-n,مُعَامَلَة,"administration, disposal",32,112,0.29,طريقة التصرف مع شخص ما أو شيء ما,a method of tending to or managing the affairs of some group of people (especial
awn3-01144162-n,تفويض السلطة,allowance,79,19,4.16,منح السلطة وانتقالها إلى حكومة أخرى (لا سيما من حكومة مركزية إلى حكومة إقليمية),the act of allowing
awn3-01183965-n,مُعَارَضة,"due process, due process of law",50,221,0.23,جماعات منظمة غالباً تناهض سياسة الدولة وترفض نهجها,(law) the administration of justice according to established rules and principle
awn3-01188101-n,إِجْرَاء قَضَائِي,appeal,56,213,0.26,سلسلة من الخطوات التي يتم بموجبها تنفيذ الأحكام القضائية,(law) a legal proceeding in which the appellant resorts to a higher court for th
awn3-01210099-n,تَعَاوُن,"aid, assist, assistance",17,96,0.18,مهمة أو عمل مشترك,the activity of contributing to the fulfillment of a need or furtherance of an e
awn3-01210950-n,مُسَاعَدَة,"hand, helping hand",72,19,3.79,المساهمة في تلبية احتياجات الآخرين وتعزيز جهودهم ودعمهم في تحقيق أهدافهم,physical assistance
awn3-01216661-n,رِعَايَة,"advocacy, protagonism",21,96,0.22,تقديم الموافقة والدعم,active support of an idea or cause etc.; especially the act of pleading or argui
awn3-01223743-n,سُلُوك,"behavior, behaviour",26,106,0.25,طريقة التصرف والتحكم بنفسك,(psychology) the aggregate of the responses or reactions or movements made by an
awn3-01255966-n,اِطْلاق,"jamming, electronic jamming, jam",35,133,0.26,عملية الانبعاث، أو التسبب بتدفق شيء,deliberate radiation or reflection of electromagnetic energy for the purpose of 
awn3-01256840-n,تَشْوِيش إِلكترُونِي,separation,92,29,3.17,الإشعاع المتعمد أو انعكاس الطاقة الكهرومغناطيسية بهدف عرقلة استخدام العدو للأجهز,sorting one thing from others
awn3-01323363-n,رَأْس,female,15,90,0.17,حيوان داجن واحد,an animal that produces gametes (ova) that can be fertilized by male gametes (sp
awn3-01323947-n,ذَكَر,adult,71,17,4.18,حيوان ينتج أمشاج (الحيوانات المنوية )يمكنها تخصيب أمشاج الإناث (البيضة),any mature animal
awn3-01330943-n,كَائِن حَي مِجْهَرِي,"relative, congener, congenator",27,121,0.22,أي عضوي لا يُرى إلا بالمجهر,an animal or plant that bears a relationship to another (as related by common de
awn3-01345170-n,وَحْدَانَات,animal order,131,20,6.55,عضويات تتكاثر عادةً عن طريق البراعم أو الانشطار اللاجنسي ، ويعتمد نمطها الغذائي ,the order of animals
awn3-01351171-n,تَرْتِيب الحَيَوَانَات,"bacteria, bacterium",45,242,0.19,تصنيف الحيوانات إلى مجموعات بناءً على خصائصها,(microbiology) single-celled or noncellular spherical or spiral or rod-shaped or
awn3-01354700-n,بَكْتِيريا,bacteria family,168,20,8.4,(علم الأحياء الدقيقة):كائنات حية دقيقة وحيدة الخلية أو غير خلوية منها المكورات و,a family of bacteria
awn3-01355215-n,جِنْس بَكْتِيرْيَا,bacteria genus,66,19,3.47,مجموعة كبيرة من البكتيريا التي تحمل خصائص وميزات مشتركة أو متشابهة,a genus of bacteria
awn3-01659454-n,فَصِيلَة الزَوَاحِف,reptile family,73,20,3.65,عائلة الفقاريات ذات العمود والحرشفيات الجلد وتشمل مجموعة كبيرة من الأنواع,a family of reptiles
awn3-01660364-n,جِنْس زَوَاحِف,reptile genus,63,19,3.32,تلك الأنواع التي تندرج تحت الفصائل ولا ينتمي إليها إلا نوع وحيد,a genus of reptiles
awn3-01678954-n,إغْوانا,"Iguanidae, family Iguanidae, Iguania",79,17,4.65,نوع من جنس الزواحف العاشبة في العالم الحديث من رتبة الحرشفيات وهي حيوانات أليفة,New World lizards
awn3-01785316-n,الحَرِيشِيَّات,superclass Myriapoda,69,256,0.27,من المفصليات التي تنتمي إلى طائفة شفويات الأرجل طولها من 10 إلى 15 سم,used in some classifications to encompass the millipedes (Diplopoda) and centipe
awn3-01876491-n,الكِيسِيَّات,"Metatheria, subclass Metatheria",65,15,4.33,نوع من الحيوانات البحرية من الحبليات الذيلية تشبه الأكياس المعبأة,pouched animals
awn3-01924200-n,فَصِيلَة الدِيدَان,worm family,61,17,3.59,عائلة اللافقاريات المستطيلة الأسطوانية وتندرج تحتها عدة أجناس,a family of worms
awn3-02156611-n,حَافِر,hoof,105,30,3.5,القدم لدى الحافريات، وهو غطاء قرني سميك ومعقوف من بروتين الكيراتين يكسو أطراف ال,the foot of an ungulate mammal
awn3-02162607-n,حَشَرَة,insect,112,29,3.86,مفصليات الأرجل الصغيرة التي تتنفس الهواء، ذات جسم مقسم لثلاثة أقسام وثلاثة أزواج,small air-breathing arthropod
awn3-02166634-n,رُتْبَةٌ الخَنَافِس,"Coleoptera, order Coleoptera",79,7,11.29,رتبة الحشرات التي تضم جميع أنواع الخنافس وهي حشرات ذات أجنحة مغلفة بصدفة متصلبة,beetles
awn3-02762968-n,مُلَقِّم آلِيّ,"autoloader, self-loader",91,29,3.14,جهاز ميكانيكي معد لتعبئة المدفع بالذخيرة ميكانيكياً ويستخدم في قطع المدفعية ومدا,a firearm that reloads itself
awn3-02807418-n,تُوبَة,"bass horn, sousaphone, tuba",107,32,3.34,آلة نفخ نحاسية وهي أدنى آلة موسيقية في عائلة النحاس ويتم إنتاج الصوت عن طريق اهت,the lowest brass wind instrument
awn3-02818735-n,خَرَز,"beads, string of beads",12,43,0.28,خيط من الخرز,several beads threaded together on a string
awn3-02833341-n,حَانِيَة,bender,88,18,4.89,أداة معدنية تتكون من لوحين متقابلين أحدهما مثبت للألواح والآخر للثني مع مقبض للإ,a tool for bending
awn3-03080712-n,سِلْعَة,"commodity, trade good, good",24,117,0.21,مواد مخصصة للبيع والشراء,"a raw material that is sold in large quantities, usually to other businesses for"
awn3-03082291-n,نظَام اِتِّصَالات,communication system,83,26,3.19,مجموعة من شبكات الاتصال المتبادل بين محطتين المرسل والمستقبل بمكونات متوافقة تقن,a system for communicating
awn3-03269943-n,آلَة حَادَّة,edge tool,24,83,0.29,أداة ذات حافة قاطعة حادة,any cutting tool with a sharp cutting edge (as a chisel or knife or plane or gou
awn3-03310789-n,خَلِيط مُتَفَجِّر,explosive mixture,96,27,3.56,مواد يتم خلطها بطريقة تسمح بانفجارها في أقل من ثانية نتيجة التفاعل الكيميائي بفع,a mixture that is explosive
awn3-03327515-n,مَبْنَى زِرَاعِيّ,farm building,74,20,3.7,هياكل مبنية ضمن المزرعة تؤوي الماشية أو تخزن فيها الحبوب والمعدات والأعلاف,a building on a farm
awn3-03327885-n,آلَة زِرَاعِيَّة,farm machine,95,25,3.8,الآلات التي تستعمل في الأراضي الزراعية والمزارع لتسريع العمل وتحسين الإنتاج وتوف,a machine used in farming
awn3-03395173-n,قُنْبُلَة مُتَفَتِّتَة,"fragmentation bomb, antipersonnel bomb, anti-personnel bomb",55,186,0.3,قنبلة تنثر الشظايا عندما تنفجر ونسبة المتفجر فيها قليلة,a bomb with only 10 to 20 per cent explosive and the remainder consisting of cas
awn3-03398178-n,آلة  المِزْمار الحُرّ,free-reed instrument,123,34,3.62,آلة موسيقية نفخية ذات ألسنة معدنية مرنة أو قصبات (مثل هارمونيكا) تهتز في فتحة هو,a wind instrument with a free reed
awn3-03841582-n,"دَفِيئَة, بَيْت زُجَاجِي","nursery, baby's room",189,25,7.56,خيم مصنوعة من مواد شفافة منفذة لأشعة الشمس ذات هيكل معدني أو خشبي تزرع بداخلها ا,a child's room for a baby
awn3-03531007-n,أداة تثبيت,holding device,99,30,3.3,أداة للإمساك بالأشياء تتألف من فكين قابلين للتعديل تتوسطهما قطعة العمل في مخرطة ,a device for holding something
awn3-03543217-n,حِصَان,"horse, gymnastic horse",110,36,3.06,قطعة من المعدات المستخدمة في الجمباز، تقف على أربعة أرجل، ولها مقبضان في الأعلى ,a padded gymnastic apparatus on legs
awn3-03590506-n,مَيْسَم,"iron, branding iron",126,34,3.71,أداة معدنية تحمل علامة تجارية أو خاصة تستخدم للوسم حرارياً على الماشية بقصد ترك ,implement used to brand live stock
awn3-03594978-n,سُتْرَة,jacket,106,12,8.83,من أنواع الثياب التي تُرتدى في الجزء العلوي من الجسم له أكمام ويمكن إغلاقه من ال,a short coat
awn3-03645903-n,زُقَاق,lane,85,20,4.25,طريق ضيق يسمح بمرور سيارة واحدة فقط، وهو موجود بكثرة في الأحياء القديمة للمدن ال,a narrow way or road
awn3-03664618-n,عَتَلَة,lever,108,35,3.09,أداة تتكون من قضيب فولاذي واحد ذو نهاية منحنية مع شق صغير أحياناً لإزالة المسامي,a rigid bar pivoted about a fulcrum
awn3-03753653-n,مُؤسَّسة تِجَارِيَّة,"mercantile establishment, retail store, sales outlet",119,39,3.05,مكان يضم مجوعة عمال وموظفين يعملون لغايات ربحية حيث هدفهم هو تسويق البضائع التي ,a place of business for retailing goods
awn3-03768668-n,مُنْشَأَة عَسْكَرِيَّة,military installation,124,38,3.26,أي مركز أو بناء أو مخيم تديره القوات العسكرية، وظيفته تأمين الحماية لأفراد وعتاد,any facility servicing military forces
awn3-03876761-n,طَرْد,"package, parcel",76,19,4.0,ما يرسل من البضاعة وغيرها في البريد في حاويات مغلفة ونحوها من ناحية ألى أخرى,a wrapped container
awn3-03960475-n,تَصْمِيم عِمْرَاني,"plan, architectural plan",110,28,3.93,رسم قياسي للبناء يوضح ترتيبات أعمال البناء المقترحة، بما فيها الأرضيات والمصاعد ,scale drawing of a structure
awn3-04063525-n,مِصْيَدَة,rattrap,83,24,3.46,فخ لصيد وقتل الجرذان يعتمد على وضع قطعة طعام ثم الإطباق على الحيوان حال لمسه الط,a trap for catching rats
awn3-04208776-n,عربة نقْل,shooting brake,107,32,3.34,سيارة صالون عائلية ذات تصميم هيكلي يسمح بالتمدد للخلف لتكبير المساحة وزيادة الرك,another name for a station wagon
awn3-04269788-n,تَسْجِيل صَوْتِي,"sound recording, audio recording, audio",109,31,3.52,عملية الكتابة الكهربية أو الميكانيكية للموجات الصوتية وإعادة تكوينها كالصوت المن,a recording of acoustic signals
awn3-04302219-n,سرْج,"stable gear, saddlery, tack",59,16,3.69,مجموعة المعدات أو الملحقات التي توضع على الحصان أثناء ركوبه,gear for a horse
awn3-04324558-n,عُود,stick,12,43,0.28,عصا من الخشب,an implement consisting of a length of wood
awn3-04337405-n,فرن,stove,78,21,3.71,مكان مربع الشكل معزول حرارياً يستخدم للطهي أو التدفئة بواسطة النار أو الكهرباء,any heating apparatus
awn3-04402786-n,وَشْم,tattoo,117,38,3.08,علامة أو رسم دائم يطبع على البشرة من خلال غرز الجلد بالإبرة ثم وضع الصبغ من خلال,a design on the skin made by tattooing
awn3-04578374-n,وَزْن,weight,77,25,3.08,قطع ثقيلة اصطناعية من معدن تستخدم لمعرفة كتلة الأشياء أو في التمارين الرياضية,an artifact that is heavy
awn3-04594218-n,آلَة نَفْخ,"wind instrument, wind",36,125,0.29,آلة موسيقية يصدر صوتها من خلال النفخ,a musical instrument in which the sound is produced by an enclosed column of air
awn3-04620079-n,مَحْصُول,"yield, fruit",106,22,4.82,نبات يزرع في مساحة حقلية ليحصد بهدف استخدامه كغذاء أو علف أو لاستخراج الزيت أو أ,an amount of a product
awn3-04626138-n,ذَات,personhood,52,14,3.71,ناحية من نواحي الشخصية قادرة على المعرفة الاستنتاجية,being a person
awn3-04630969-n,مِزَاج,"disposition, temperament",64,15,4.27,الجوانب من شخصية الفرد التي تعتبر عادة فطرية ولا يتعلمها الإنسان,your usual mood
awn3-04636551-n,"لامُبَالاة, عَدَم إِحْسَاس","unemotionality, emotionlessness",69,18,3.83,شعور المرء بالحياد الانفعالي تجاه الأشياء والأشخاص وعدم الاكتراث بشيء,absence of emotion
awn3-04682671-n,اِنْطِبَاع,"impression, effect",83,21,3.95,ذلك الحدث الذي يلتقي فيه شخص بشخص آخر لأول مرة ويترك حينها صورة ذهنية عند ذلك ال,an outward appearance
awn3-04738737-n,خَاصّيَّة,characteristic,11,74,0.15,صفة مميِّزة,a distinguishing quality; a feature that can be used to identify something
awn3-04898878-n,سَخَافَة,"absurdity, fatuity, fatuousness",87,17,5.12,ضعف العقل ورقته من خلال التصرف بتصرفات بلهاء أو التفوه بأشياء تافهة لا معنى او ق,a ludicrous folly
awn3-04902753-n,سَذَاجَة,credulity,102,27,3.78,فشل في الذكاء الاجتماعي حيث يتم خداع شخص ما بسهولة أو التلاعب به، مع الميل إلى ا,tendency to believe readily
awn3-04957303-n,خاصّيَّة بَصَريَّة,visual property,126,22,5.73,خواص تعتمد على الشكل البلوري للمعدن، وعلى تفاعل المعدن مع الضوء الساقط عليه والم,an attribute of vision
awn3-04982235-n,خَاصِيَّة لَوْنِيَّة,color property,67,21,3.19,إحدى خصائص الألوان التي يتم بها كتابة النص أو تحديد لون الخلفية الخ,an attribute of color
awn3-04990371-n,خَاصّيَّة الصوت,sound property,81,21,3.86,إحدى خصائص الصوت التي تميزه بسبب الطريقة التي تنتقل بها الطاقة الصوتية في الموجا,an attribute of sound
awn3-05013469-n,جُمُود,"inanimateness, lifelessness",55,15,3.67,الافتقار إلى الخصائص المرتبطة بالأحياء الحية ذات الحركة,not having life
awn3-05054430-n,"أَوْلَوِية, أَسْبَقِيَة","priority, antecedence, antecedency",58,17,3.41,سابقة حدثت من قبل، كانت سبباً أو أصلاً لوجود شيء ما لاحقاً,preceding in time
awn3-05098974-n,اِحْتِمَال,"probability, chance",24,144,0.17,قياس إمكانية وقوع حدث ما,a measure of how likely it is that some event will occur; a number expressing th
awn3-05184812-n,حَقّ قَانُونِي,legal right,67,20,3.35,حقوق تمنح لشخص معين بواسطة نظام قانوني (أي يمكن تعديلها أو إلغاؤها),a right based in law
awn3-05572223-n,"كَفّ, يَد","hand, manus, mitt",14,47,0.3,نهاية الذراعين,the (prehensile) extremity of the superior limb
awn3-05625839-n,قُدْرَة ذِهْنِيَّة,"brain, brainpower, learning ability",119,14,8.5,السلوك الذكي للإنسان وقدرته الفكرية الطبيعية على الملاحظة والفهم والتعلم والتفكي,mental ability
awn3-05630239-n,مَوْهِبَة,aptitude,66,16,4.12,استعداد فطري للإنجاز العالي في بعض المهارات وتصقله البيئة الملائمة,inherent ability
awn3-05632483-n,إبْدَاع,"creativity, creativeness, creative thinking",67,21,3.19,ابتكار شيء غير مسبوق. التعامل مع الأشياء المألوفة بطريقة غير مألوفة,the ability to create
awn3-05645810-n,قُدْرَة,hand,23,7,3.29,استطاعة القيام بالأشياء,ability
awn3-05660241-n,حَاسَّة,"modality, sense modality, sensory system",98,18,5.44,الجزء من الجهاز العصبي والمسؤول عن معالجة المعلومات الحسية، والذي يستجيب لما يسم,a particular sense
awn3-05679818-n,"طَرَف, جَانِب",part,20,74,0.27,أمر يتعلق بممثل محدد,that which concerns a person with regard to a particular role or situation
awn3-05688958-n,نَوْم,sleeping,87,25,3.48,عملية فيزيولوجية لدى الكائنات الحية تستريح فيها وظائف الجسم وتتميز بنقص الإدراك ,the state of being asleep
awn3-05696202-n,أمر,matter,28,9,3.11,السبب في قلق أو ألم أو مشكلة,a problem
awn3-05705100-n,يَقِين,certainty,90,26,3.46,اعتقاد بأن الشيء كذا مع اعتقاد أنه لا يمكن أن يكون إلا كذا، مطابقاً للواقع غير م,the state of being certain
awn3-05805605-n,"بَحْث, بحث","inquiry, enquiry, research",82,22,3.73,دراسة مفصلة حول موضوع ما خصوصاً من أجل اكتشاف معلومات جديدة أو الوصول إلى فهم جد,a search for knowledge
awn3-05875237-n,نُقْطَة التَقَاطُع,"intersection, intersection point, point of intersection",101,29,3.48,النقطة التي تتشكل عند تقاطع خطين ينتميان إلى ذات المستوي أو بين خط ومستوي أو بين,a point where lines intersect
awn3-05878206-n,كُل,whole,18,62,0.29,شيء كامل غير مقسوم,all of something including all its component elements or parts
awn3-05900179-n,مُخَطَّط,"outline, schema, scheme",9,31,0.29,خطة أولية,a schematic or preliminary plan
awn3-05909037-n,بَرْنامَج تَعْلِيمِيّ,educational program,134,33,4.06,تنظيم بنائي للأنشطة التربوية، وهو لائحة المواد المراد تدريسها تصاحبها تعليمات من,a program for providing education
awn3-05911139-n,خُطَّة عَمَل,plan of action,135,35,3.86,سلسلة من الخطوات التي يجب اتخاذها، أو النشاطات التي يجب تنفيذها بشكل جيد وصحيح، ,a plan for actively doing something
awn3-05919047-n,مَشْرُوع,"project, projection",100,21,4.76,عمل يقوم به الفرد لينفذ فكرة معينة وفق خطة منظمة ويتطلب موارد مالية ومعرفية وبشر,a planned undertaking
awn3-05939522-n,نَمَط,"form, shape, pattern",121,22,5.5,هيكل إدراكي، البنية التي يرى بها الفرد العالم الطبيعي والاجتماعي بكل ما فيه من ح,a perceptual structure
awn3-06002729-n,نَظَرِيَّة عِلْمِيَّة,scientific theory,185,46,4.02,بنية التفكير المنتظم الذي يتصوره الخيال البشري، وتشمل مجموعة من القوانين التجريب,a theory that explains scientific observations
awn3-06337790-n,صِيغَة نحوية,person,53,181,0.29,التعبير عن المتكلم والمخاطب والغائب بالإفراد أو الجمع,"a grammatical category used in the classification of pronouns, possessive determ"
awn3-07125755-n,صَوْت كَلامِيّ,"phone, speech sound, sound",17,116,0.15,وحدة صوتية كلامية,(phonetics) an individual sound unit of speech without concern as to whether or 
awn3-07141714-n,ضَحِك,"laugh, laughter",67,21,3.19,من أشكال التعبير عن السرور ومشاعر أخرى يكون بإصدار صوت مع الابتسامة,the sound of laughing
awn3-07300108-n,تَجْرِبَة,experience,76,23,3.3,الخضوع لأحداث يتم فيها اكتساب المعرفة من خلال الفعل والمشاهدة والشعور شخصياً,an event as apprehended
awn3-07324399-n,حَرَكَة,"movement, motion",23,79,0.29,تغيير المكان أو الوضعية,a natural event that involves a change in the position or location of something
awn3-07391537-n,ضَرْب,beat,7,27,0.26,صوت ضرب,the sound of stroke or blow
awn3-07524370-n,تَواضُع,"humility, humbleness",57,16,3.56,عكس التكبر، رضا الإنسان بمنزلة دون ما يستحقه فضله ومنزلته,a humble feeling
awn3-08007398-n,سِرْب طيور,flock,55,16,3.44,مجموعة من الطيور التي تلازم بعضها عند التحليق في السماء,a group of birds
awn3-08162285-n,مَكْتَب البَرِيد الأمريكي,"United States Post Office, US Post Office, Post Office",48,168,0.29,فرع محلي من أفرع مكتب البريد في الولايات المتحدة,an independent agency of the federal government responsible for mail delivery (a
awn3-08196607-n,"نَاس, جماهير","populace, public, world",9,39,0.23,الناس ككل,people in general considered as a whole
awn3-08230738-n,فَوْج,regiment,26,134,0.19,وحدة عسكرية أصغر من القطعة,"army unit smaller than a division, which can be divided into several companies, "
awn3-08252434-n,مَاسُونِيّ,"Freemasonry, Masonry",107,23,4.65,أحد المنظمات السرية التي يعتقد أنها تسعى للسيطرة على العالم ذات أفكار ومعتقدات خ,Freemasons collectively
awn3-08268798-n,عُصْبَة,"faction, sect",60,19,3.16,جزء أو مجموعة ضمن مجموعة أكبر ذات أفكار وخصائص مختلفة قليلاً,a dissenting clique
awn3-08293641-n,مَدْرَسَة,school,92,26,3.54,أحد أنواع المؤسسات التعليمية التي يتعلم فيها التلاميذ وغالباً ما تخصص لمراحل الد,an educational institution
awn3-08322872-n,دَوْلَة حَلِيفَة,ally,58,17,3.41,الدولة التي وافقت رسمياً على تقديم الدعم خصوصاً خلال الحرب,a friendly nation
