synset_id,pos,words,has_examples,has_ili
awn3-02577816-v,v,"اِسْتَمَعَ, اِنْتَبَه, أَصْغَى, أَنْصَتَ, اِهْتَمَّ",False,True
awn3-02579184-v,v,"غَشَّ, تَلاعَبَ",False,True
awn3-02579332-v,v,"سَرَقَ, غَشَّ, خَدَعَ",False,True
awn3-02580280-v,v,ضَحَّى بـ,False,True
awn3-02580591-v,v,"ضَلَّلَ, زَوَّرَ, اِحْتَالَ, دَلَّسَ, غَشَّ",False,True
awn3-02581157-v,v,"غَشَّ, خَدَعَ, ضَلَّلَ",False,True
awn3-02584595-v,v,"أَحَيا, اِحْتَفَلَ",False,True
awn3-02584957-v,v,"أَوْفى, حَافَظَ",False,True
awn3-02585532-v,v,"أَضَلَّ, أَفْسَدَ",False,True
awn3-02588700-v,v,"اِرْتَكَبَ, اِقْتَرَفَ",False,True
awn3-02592213-v,v,"أَمَالَ, أَقْنَعَ, كَسَبَ",False,True
awn3-02592711-v,v,حَكَمَ,False,True
awn3-02593176-v,v,"أمَرَ بالقُوَّة, أمْلَى سِياسَتَه, طَغَى, تَجَبَّرَ, تَحَّكَّمَ",False,True
awn3-02593331-v,v,"اِضْطَهَدَ, اِسْتَبَدَّ, عَسَفَ, طَغَى, تَعَسَّفَ",False,True
awn3-02593467-v,v,"حَكَمَ, سَيْطَرَ, سَادَ, تَوَلَّى",False,True
awn3-02593624-v,v,"دَبَّرَ, دَبَّرَ أَمْرَه بِـ",False,True
awn3-02594833-v,v,"صَاحَبَ, صَادَقَ",False,True
awn3-02595401-v,v,"اِنْسَجَمَ مَعَ, صَاحَبَ",False,True
awn3-02596496-v,v,"أَنْشَأَ مُسْتَعْمَرَة, اِسْتَعْمَرَ, اِحْتَلَّ, اِسْتَوْطَنَ",False,True
awn3-02599263-v,v,خَدَمَ,False,True
awn3-02601659-v,v,"أَعَادَ, كَرَّرَ",False,True
awn3-02601837-v,v,اِسْتَرَاحَ,False,True
awn3-02602490-v,v,أَدْهَشَ,False,True
awn3-02604140-v,v,"حَشَدَ, جَمَعَ, جَمَّعَ",False,True
awn3-02604480-v,v,كَوَنَ,False,True
awn3-02609706-v,v,"وُجِدَ, كَانَ",False,True
awn3-02610484-v,v,"تَعَايَشَ, تَوَاجَدَ",False,True
awn3-02610777-v,v,كَانَ,False,True
awn3-02613865-v,v,"امْتَدَّ, تَوَسَّعَ",False,True
awn3-02614382-v,v,بَدَأَ,False,True
awn3-02615799-v,v,"تَمَّ, اِنْقَطَعَ, أَنْهى, اِنْتَهى, تَوَقَّفَ",False,True
awn3-02616663-v,v,"أَنْهَى, خَتَمَ, اِخْتَتَمَ",False,True
awn3-02618403-v,v,"حَدَثَ, وَقَعَ, صَدَرَ",False,True
awn3-02618797-v,v,حَضَرَ,False,True
awn3-02620216-v,v,"عَاشَ, كَانَ",False,True
awn3-02620422-v,v,عَاشَ,False,True
awn3-02622766-v,v,"عَاشَ, بَقِيَ",False,True
awn3-02624202-v,v,"بَقِيَ, ثَبُتَ, نَجَا",False,True
awn3-02625202-v,v,تَحَمَّلَ,False,True
awn3-02626293-v,v,سَقَطَ,False,True
awn3-02626667-v,v,"أَلَّفَ, كَوَنَ",False,True
awn3-02627324-v,v,"كَوَّنَ, شَكَّلَ",False,True
awn3-02627475-v,v,"شَكَّلَ, أَلَّفَ",False,True
awn3-02627934-v,v,"عَزَلَ, فَصَلَ, قَسَّمَ",False,True
awn3-02628315-v,v,"وَصَّلَ, رَبَطَ",False,True
awn3-02629610-v,v,أَصْبَحَ,False,True
awn3-02633747-v,v,نَشَأَ,False,True
awn3-02634015-v,v,"اِشتَرَطَ, طَالَبَ, اِحْتَاجَ, اِسْتَدْعَى, طَلَبَ",False,True
awn3-02634913-v,v,"إنْسَحَبَ, عَامَ",False,True
awn3-02635042-v,v,كَلَّفَ,False,True
awn3-02635337-v,v,"تَحَاشَى, تَجَاهَلَ, تَجَنَّبَ",False,True
awn3-02635616-v,v,"شَمِلَ, اِحْتَوَى, ضَمَّ",False,True
awn3-02636270-v,v,"أَظهَرَ, تَمَيَّزَ",False,True
awn3-02638248-v,v,"اِمْتَلَكَ, مَلَكَ",False,True
awn3-02638434-v,v,"فَقَدَ, نَقَصَ",False,True
awn3-02639021-v,v,شَمِلَ,False,True
awn3-02639615-v,v,"طَابَقَ, سَاوَى",False,True
awn3-02639962-v,v,"بَرْهَنَ, أَثْبَتَ, ظَهَرَ",False,True
awn3-02640346-v,v,"أَسْفَرَ عَن, أدَّى إلى, أَسْفَرَ",False,True
awn3-02640648-v,v,"نَشَأَ مِن, نَتَجَ مِن, نَتَجَ عَن",False,True
awn3-02641114-v,v,"شَرَحَ, عَلَّلَ, فَسَّرَ",False,True
awn3-02641270-v,v,"أَوْجَبَ, عَنَى, اِسْتَوْجَب, اِسْتَلْزَمَ, اِسْتَتْبَعَ",False,True
awn3-02641628-v,v,اِسْتَلْزَمَ,False,True
awn3-02641740-v,v,"أَسْفَرَ عَن, تَرَكَ, خَرَجَ بـ, أَدَّى إِلَى",False,True
awn3-02642216-v,v,"شَمِلَ, شَمَلَ, اِنْطَوَى, تَضَمَّنَ",False,True
awn3-02643286-v,v,"بَقِيَ, مَكَثَ, نَزَلَ, سَكَنَ",False,True
awn3-02644022-v,v,اِنْتَظَرَ,False,True
awn3-02646524-v,v,"تَذَبْذَبَ, تَرَدُّد, اِرْتَعَشَ",False,True
awn3-02647119-v,v,"تَأَنَّى, تَرَدَّدَ, تَوَقَّفَ",False,True
awn3-02647547-v,v,"اِنْتَظَرَ, تَرَيَّثَ, تَرَوَّى",False,True
awn3-02648041-v,v,أَخَّرَ,False,True
awn3-02648898-v,v,"أَخَّرَ, أَجَّلَ, أَرْجَأ",False,True
awn3-02650318-v,v,"سَيْطَرَ, مَلَكَ, سَادَ, عَمَّ, حَكَمَ",False,True
awn3-02651091-v,v,"عَادَلَ, بَلَغَ",False,True
awn3-02651923-v,v,"أَهَمَّ, هَمَّ",False,True
awn3-02652311-v,v,"قُدِّرَ, ثُمِّنَ",False,True
awn3-02652841-v,v,اشْتَرَى,False,True
awn3-02655932-v,v,"أَقَامَ, عَمَرَ, سَكََنَ, نَزَلَ, شَغَلَ",False,True
awn3-02658589-v,v,"أَقَامَ, بَقِيَ, اسْتَأْجَرَ, مَكَثَ, سَكَنَ",False,True
awn3-02659476-v,v,"كَمَنَ, قَبَعَ",False,True
awn3-02659801-v,v,"إِتَّصَلَ, تَعَلَّقَ, خَصَّ",False,True
awn3-02659957-v,v,"ذَهَبَ, مُنِحَ, أُعْطِيَ",False,True
awn3-02661230-v,v,كَانَ,False,True
awn3-02662486-v,v,"أَلْجَأَ, آوَى",False,True
awn3-02663315-v,v,"اِتَّفَقَ, تـَطَابَقَ, تَوافَقَ",False,True
awn3-02664648-v,v,"انْسَجَمَ, طَابَقَ",False,True
awn3-02665841-v,v,نَاسَبَ,False,True
awn3-02666520-v,v,"صَادَفَ, تَلازَمَ, تَوَافَقَ, تَزَامَنَ, زَامَنَ",False,True
awn3-02666709-v,v,"تَدَاخَلَ, تَشَابَكَ, تَرَاكَبَ, تَزَامَنَ",False,True
awn3-02666897-v,v,"نَاصَرَ, أَيَّدَ, اِنْحَازَ إلى",False,True
awn3-02669057-v,v,طَابَقَ,False,True
awn3-02670312-v,v,"إِعْتَمَدَ على, تَوَقَّفَ على",False,True
awn3-02670653-v,v,شَكَّلَ أَسَاس,False,True
awn3-02670846-v,v,"عَادَلَ, سَاوَى",False,True
awn3-02671069-v,v,بَلَغَ,False,True
awn3-02671359-v,v,شَابَهَ,False,True
awn3-02671694-v,v,"شَابَهَ, شَبَهَ",False,True
awn3-02672316-v,v,اِخْتَلَفَ,False,True
awn3-02674312-v,v,"خَرَقَ, عَارَضَ, خَالَفَ",False,True
awn3-02675578-v,v,كَفَى,False,True
awn3-02676187-v,v,"خَدَمَ, سَاعَدَ",False,True
awn3-02676679-v,v,خَدَمَ,False,True
awn3-02677669-v,v,حَقَّقَ,False,True
awn3-02678923-v,v,وَازَنَ,False,True
awn3-02679754-v,v,"تَمَيَّزَ, فَاقَ, تَفَوَّقَ",False,True
awn3-02680375-v,v,بَرَزَ,False,True
awn3-02680690-v,v,"حَاكَى, قَلَّدَ",False,True
awn3-02681746-v,v,غَطَّى,False,True
awn3-02681865-v,v,"هَمَّ, حَمَلَ, لامَسَ, أَفَادَ, اِتَّصَلَ",False,True
awn3-02683377-v,v,"زَجَّ, أَقْحَمَ",False,True
awn3-02684822-v,v,تَأَهَّلَ,False,True
awn3-02685709-v,v,"أَبْقَى, حَمَى, حَافَظَ عَلَى, صَانَ",False,True
awn3-02686624-v,v,"كَفَّ, تَرَكَ, أَنْهى, قَطَعَ, أَوْقَفَ",False,True
awn3-02687605-v,v,"أَبْقَى, حَافَظَ, حَفِظَ",False,True
awn3-02688950-v,v,"اِبْتَعَدَ, تَجَنَّبَ",False,True
awn3-02690747-v,v,"وَاصَلَ, َبَقِيَ, اِسْتَمَرَّ, تَابَعَ, إِسْتَغْرَقَ",False,True
awn3-02691488-v,v,وَصَلَ,False,True
awn3-02691775-v,v,امْتَدَّ,False,True
awn3-02692313-v,v,قَادَ,False,True
awn3-02693227-v,v,"تَفَوَّقَ, تَقَدَّمَ, سَبَقَ",False,True
awn3-02693758-v,v,امْتَدَّ,False,True
awn3-02695141-v,v,"اتَّسَعَ, اِنْتَشَرَ, امْتَدَّ, تَوَسَّعَ",False,True
awn3-02696550-v,v,"كَمَنَ, جَثَمَ, رَقَدَ",False,True
awn3-02698724-v,v,"جَلَسَ, جَثَمَ, رَقَدَ",False,True
awn3-02699533-v,v,"قَابَلَ, وَاجَه",False,True
awn3-02702643-v,v,"أَطَلَّ, تَعَالَى, إِرْتَفَعَ",False,True
awn3-02702962-v,v,"هَدَّدَ, عَرَّضَ للخَطَر",False,True
awn3-02703792-v,v,مَيَّزَ,False,True
awn3-02705783-v,v,"لَاءَمَ, نَاسَبَ",False,True
awn3-02705946-v,v,"اِنْسَجَمَ, تَنَاسَقَ, إِتََّفَقَ",False,True
awn3-02706727-v,v,"اٍحْتَوَى, حَوَى",False,True
awn3-02707688-v,v,احْتَوَى,False,True
awn3-02708368-v,v,كَلَّفَ,False,True
awn3-02708690-v,v,"لاءَمَ, نَاسَبَ",False,True
awn3-02709149-v,v,"رَقَّ, ذَعَنَ, لانَ",False,True
awn3-02710209-v,v,بَلَغَ قِيَاسَه,False,True
awn3-02710678-v,v,"وَزَنَ, بَلَغَ وَزْنَه",False,True
awn3-02710788-v,v,"بَقِيَ, دَامَ, اِسْتَمَرَّ",False,True
awn3-02711395-v,v,"لازَمَ, كَمِنَ, رَافَقَ",False,True
awn3-02712465-v,v,"ضَجَّ, طَنَّ, أَزَّ",False,True
awn3-02714280-v,v,"قَضَى, أَمْضَى",False,True
awn3-02714981-v,v,"قَضَى, خَدَمَ",False,True
awn3-02715780-v,v,تَشَعَّبَ,False,True
awn3-02716276-v,v,لاقَى,False,True
awn3-02717862-v,v,اِعْتَمَدَ,False,True
awn3-02718318-v,v,"سَبَقَ, أَتَى قَبْلَ",False,True
awn3-02719059-v,v,"أَشَارَ, تَوَجَّه",False,True
awn3-02719247-v,v,بَرَزَ,False,True
awn3-02720849-v,v,"اِكْتَظَّ, عَجَّ",False,True
awn3-02722040-v,v,رَافَقَ,False,True
awn3-02722642-v,v,"صَاحَبَ, رَافَقَ",False,True
awn3-02722977-v,v,"أَخَذَ, حَمَلَ",False,True
awn3-02724184-v,v,اِشْتَرَكَ,False,True
awn3-02725274-v,v,"مَالَ, نَزَعَ إلى",False,True
awn3-02726024-v,v,"نَتَجَ, تَبِعَ",False,True
awn3-02726419-v,v,"أَعْقَبَ, تَبِعَ, تَلاَ",False,True
awn3-02727313-v,v,"أََعْطَى, سَمَحَ, تَرَكَ, أَتَاحَ, زَوَّدَ",False,True
awn3-02728538-v,v,"عَرَضَ, جَلَبَ, قَدَّمَ",False,True
awn3-02729826-v,v,"عَادَ إِلَى, رَجَعَ إٍلَى",False,True
awn3-02730292-v,v,"اِتَّصَلَ, تَعَلَّقَ بـ",False,True
awn3-02731589-v,v,"اِمْتَنَعَ, أَمْسَكَ",False,True
awn3-02732759-v,v,"أَوْشَكَ, قَارَبَ",False,True
awn3-02733337-v,v,"بَقِيَ, مَكَثَ, ظَلَّ",False,True
awn3-02733758-v,v,"إنْباعَ, بَاعَ",False,True
awn3-02734445-v,v,"بِيعَ بالقَطَّاعِيّ, بِيعَ بالتَّجْزِئَة",False,True
awn3-02734659-v,v,"تَبَادَلَ, تَداوَلَ",False,True
awn3-02735507-v,v,"ضَاهَى, نَاظَرَ",False,True
awn3-02736346-v,v,بَدَا,False,True
awn3-02736688-v,v,قَال,False,True
awn3-02736899-v,v,بَقَى,False,False
awn3-02738673-v,v,"إِتَّسَعَ, إِسْتَوْعَبَ, قَبِلَ, وَسِعَ",False,True
awn3-02739209-v,v,"لَمَعَ, تَأَلَّقَ",False,True
awn3-02740213-v,v,"ظَلَّ, كَمِنَ",False,True
awn3-02740827-v,v,عَلِقَ,False,True
awn3-02741157-v,v,"نَاسَبَ, وَافَقَ, واءَمَ, لَاءَمَ",False,True
awn3-02741293-v,v,"اِخْتَتَمَ, أَنْهَى",False,True
awn3-02741628-v,v,نَاسَبَ,False,True
awn3-02741772-v,v,"سَهَّلَ, سَاعَدَ",False,True
awn3-02742266-v,v,"نَاسَبَ ل, لَاءَمَ ل",False,True
awn3-02743444-v,v,"اِنْتَسَبَ, ْاِنْتَمَى",False,True
awn3-02743599-v,v,"اِنْتَمَى, نَاسَبَ",False,True
awn3-02743751-v,v,"اِنْتَمَى, عَادَ",False,True
awn3-02744576-v,v,"دَارَ, لَفَّ",False,True
awn3-02746427-v,v,"بَشَّرَ, وَعَدَ",False,True
awn3-02746620-v,v,تَبَقَّى,False,True
awn3-02747024-v,v,اِمْتَدَّ,False,True
awn3-02747421-v,v,"أَخَذَ, قَبِلَ, تَقَبَّلَ",False,True
awn3-02762516-v,v,"مَطَرَ, أمْطَرَ",False,True
awn3-02762779-v,v,"هَبَطَ, سَقَطَ, نَزَلَ",False,True
awn3-02763991-v,v,"دَفَقَ, اِنْهَمَرَ, تَدَفَّقَ, صَبَّ",False,True
awn3-02764935-v,v,"سَقَطَ, تَسَاقَطَ الثَلْج, سَقَطَ الثَلْج",False,True
awn3-02766580-v,v,"اِشْتَعَلَ, اِضْطَرَمَ, اِلْتَهَبَ, اِسْتَعَرَ, تَوَقَّدَ",False,True
awn3-02768426-v,v,"حَرَقَ, أِحْرَقَ",False,True
awn3-02769698-v,v,"أَصَاء, أَشْرَقَ",False,True
awn3-02771422-v,v,"اِمْتَصَّ, مَصَّ",False,True
awn3-02773074-v,v,شَعَّ,False,True
awn3-02773266-v,v,"أَخْرَجَ, أَصْدَرَ, بَعَثَ",False,True
awn3-02775199-v,v,هَبَّ,False,True
