ao_parent_id,ao_words,ao_gloss,awn3_synset_id,awn3_words,awn3_gloss
293306,إِنْسَانٌ,شخصية اعتبارية لإنسان له حقوق وواجبات,awn3-00007846-n,شَخْص|أَحَد|فَرْد,كلمة تدل على الكائن البشري، الإنسان
293308,جَمْعِيَّةٌ|هَيْئَةٌ|نِظَامٌ,شخصية اعتبارية منشأة، تتمتع بشخصية قانونية مستقلة ,awn3-08024893-n,مُنَظَّمَة,مجموعة من الأشخاص يعملون سوياً لهم هدف معين
454472141,دَهَّانٌ,,awn3-03133170-n,مَرُوخٌ|دِهَانٌ|بَلْسَمٌ,إحدى أدوات الزينة التي تتكون من مواد مختلفة على شك
455000544,أَلَمٌ,,awn3-05732639-n,أَلَم,إحساس جسدي سلبي بعدم الراحة والمعاناة والشعور بالأ
293357,طُحْلَبٌ|طُحْلُبٌ|طِحْلِبٌ,كائن طلائعي يحتوي صبغة كلورفيل (a) تتميز دورة حيات,awn3-01399755-n,طُحْلُب,كائنات حية بدائية مائية حقيقية النوى تحتوي على الك
454253041,مُدَرِّسٌ,,awn3-15319077-u,مَدْرَسٌ,صرح ممثل بمساحة أو مكان تمارس فيه عملية التعليم وا
293377,كَائِنٌ بَرْمائِيٌّ,كائن فكّي يعيش حياة مزدوجة بين البرّ واليابسة,awn3-15319187-u,كَائِنٌ بَرْمائِيٌّ,كائن فكّي يعيش حياة مزدوجة بين البرّ واليابسة
303034890,ظَرْفٌ,الظَّرف المُتصرِّف:- (النحو والصرف) الذي يستعمل ظر,awn3-03296730-n,ظَرْف,جيب من ورق مستطيل الشكل لاحتواء رسالة أو بطاقة ونح
293421,جهاز غدد صماء,نظام حيوي حيواني يضم جميع الأنسجة والخلايا ذات الف,awn3-15319208-u,جهاز غدد صماء,نظام حيوي حيواني يضم جميع الأنسجة والخلايا ذات الف
454333021,مُحَقِّقٌ,,awn3-10235293-n,مُحَقِّق,المفوض لتحري الحقيقة في الحوادث الجنائية وكشف غموض
303008365,جَمْعٌ,(النحو والصرف) صيغة تدلُّ في العربيَّة على ما يزيد,awn3-00874089-n,جَمْع,هي عملية تجري على عددين نتيجتها تكون حاصل إضافة أح
293505,مجرى مائي,منطقة مائية مياهها جارية,awn3-09471510-n,مَجْرى مَائِي,كتلة مائية من المياه الجارية المتدفقة طولياً على س
293506,بَحْرٌ,مسطح مائي مياهه مالحة وتتصل بمحيط، حجمه أصغر من مح,awn3-09449666-n,بَحْر,مساحة واسعة من المياه المالحة التي تكون قسماً من ا
293507,بُحَيْرَةٌ,مسطح مائي محاط باليابسة، حجمه أصغر من بحر,awn3-09351810-n,بُحَيْرَة,مسطح مائي ليس كبير عذب المياه غالباً تحيط به الياب
293510,خَلِيجٌ,مسطح مائي يشكل ذراع من مسطح مائي آخر، محاط أغلبه ب,awn3-09238571-n,خَلِيج,امتداد مائي داخل في اليابسة
293512,مَضِيقٌ|قَنَاةٌ,مجرى مائي يربط بين مسطحات أو مجاري مائية,awn3-09469019-n,مَضِيق,قناة ضيقة طولية في البحر تربط مسطحين مائيين كبيرين
293516,نَهْرٌ,مجرى مائي مياهه عذبة، يتدفق طبيعيا نحو مسطح أو مجر,awn3-09434308-n,نَهْر,مجرى ماء طبيعي عذب المياه يمتد بين المنبع والمصب، 
293520,بَحْرَةٌ|بِرْكَةٌ|مُسْتَنْقَعٌ,مسطح مائي ضحل مياهه غير نقية، أصغر من بحيرة,awn3-03988418-n,بِرْكَة,حفرة مملوءة عادة بالماء
454419091,بائع متجول,,awn3-10431296-n,بائِعٌ مُتَجَوِّل,البائع الذي ينتقل من مكان لآخر ليعرض بضاعته في الط
49855,خانٌ|نُزُلٌ|فُنْدُقٌ,منزل يقيم فيه المسافرين والغرباء بالأجر مدة من الز,awn3-03547513-n,خانٌ|نُزُلٌ|فُنْدُق,مسكن مفروش لإقامة المسافرين بالأجر لوقت قصير وقد ي
293572,فَتْرَةٌ,زمن يُكَمَّم ويُحسب بناءً على ما يناط به من أحداث ,awn3-15137796-n,زَمَن|مُدَّة|فَتْرَة,اسم لقليل الوقت وكثيره
293573,مَدَىً2|مُدَّةٌ|فَتْرَةٌ,زمن يُكَمَّم ويُحسب بناءً على ما يُناط به من أحداث,awn3-00182828-r,حِينَمَا|لَمَّا|عِنْدَمَا,في وقت حدوث الشيء مباشرة
293576,نقطة زمنية,زمن يدرك اعتباراً كنقطة واحدة مع اختلاف الأمتداد ا,awn3-15319252-u,نقطة زمنية,زمن يدرك اعتباراً كنقطة واحدة مع اختلاف الأمتداد ا
293586,يَوْمٌ,فترة زمنيّة تبدأ وتنتهي بإكمال الأرض دورة كاملة حو,awn3-15161405-n,نَهَار|يَوْم,الساعات المتتالية التي لا تنام فيها (وبالأخص الساع
293588,شَهْرٌ,فترة زمنيّة تتكوّن من أيّام بمتوسط 30 يوماً، و 12 ,awn3-15231092-n,شَهْر,وحدة زمنية مدتها ثلاثون يوماً
293589,سَنَةٌ|عَامٌ|حَوْلٌ,فترة زمنيّة مدّتها اثنا عشر شهراً تقريباً، يعتمد ط,awn3-00114965-v,حَوَّلَ|تَحَوَّلَ,يتغير الشيء، أو يجعله يتغير، في الشكل والطبيعة وال
293593,سَنَة شَمْسِيَّةٌ|سَنَة ميلاديّة|سَنَة مداريَّة,سنة تمثّل الفترة الزمنيّة التي تستغرقها الشّمس لتع,awn3-15227602-n,سَنَة ميلاديّة|سَنَة ميلاديّة|سَنَة مَدَارِيَّة,الوقت الذي تستغرقه الشمس لتعود إلى نفس الموقع من د
293595,شَهْرٌ هِجْرِيّ|شَهْرٌ قَمَريّ|شَهْرٌ عَرَبِيٌّ,شهر يمثّل الفترة التي يستغرقها القمر للقيام بدورة ,awn3-15232668-n,شَهْرٌ هِجْرِيّ|شَهْرٌ عَرَبِيٌّ|شَهْر قَمَرِيّ,الفترة الزمنية بين قمرين كاملين متتاليين (مدتها 29
293597,شَهْرٌ مِيلاديّ,شهر يمثّل جزءاً من 12 جزءاً من السّنة الميلاديّة، ,awn3-15234209-n,شَهْر مِيلادِيّ,أحد التقسيمات الاثني عشر للسنة الميلادية
293670,مَرْحَلَةٌ,مدة زمنية تعبرعن جزء من مدة زمنية أكبر لحدث معين، ,awn3-00308457-n,مَرْحَلَة,قسم أو شوط يمثل فترة من رحلة معينة أو مسار
293671,دَوْرَةٌ,مدة زمنية لحدث، محددة الطول ومتكررة,awn3-00346467-n,دَوْرَة|لَفَّة,الالتفاف والدوران بالمكان
293673,حِقْبَةٌ,زمن يُناط مقداراً بمدّة استمرار أحداث أو ظهور كائن,awn3-15272831-n,عَصْر|حِقْبَة,أحد التقسيمات الرئيسية للزمن الجيولوجي ، حيث عادة 
293680,عَلَاقَةٌ|عِلَاقَةٌ2,صلة بين شيئين يستلزم تغير أحدهما تغير الآخر,awn3-15319257-u,عَلَاقَةٌ|عِلَاقَةٌ2,صلة بين شيئين يستلزم تغير أحدهما تغير الآخر
293696,بِرْكَةٌ|حَوْضٌ,مسطح مائي مياهه نقية، حجمه أصغر من بحيرة,awn3-03988418-n,بِرْكَة,حفرة مملوءة عادة بالماء
293719,قَنَالٌ|قَنَاةٌ,مجرى مائي يستخدم لنقل وتوصيل مياه الشرب للاستهلاك ,awn3-03093470-n,قَنَاة,ممر (أنبوب أو نفق) يمكن من خلاله تمرير المياه أو ا
293721,أَوْبٌ,ناحية تدلل على مكان,awn3-07551462-n,حَسْرَةٌ|تَوْبَةٌ|أَوْبٌ,الشعور بالذنب تجاه فعل أمر خاطئ والحزن الشديد لفعل
172905,مَسْرَحٌ,ملتقى يجتمع فيه الناس لمشاهدة عروض فنية او تمثيلية,awn3-04424944-n,مَسْرَح|دَار  سِينَما,بناء يتم فيه أداء المسرحيات أو عرض الصور المتحركة
293766,اِنْقِلَابٌ,نقطة زمنية يكون عندها إما الليل أو النهار أطول ما ,awn3-00348478-n,اِنْقِلاب,التحول إلى الاتجاه المعاكس بشكل يغير مسار الأشياء 
293791,مَدْرَسَةٌ,مرحلة دراسية يقضيها الطالب في مدرسة ذات منهاج أكاد,awn3-04153115-n,مَدْرَسَة,البناء الذي يذهب إليه الأطفال من سن الخامسة حتى ال
293803,عِيدٌ,فترة دينية احتفالية تكرر سنوياً، مرتبطة بحادث ديني,awn3-07465251-n,إِحْتِفال|عِيد,حفلة بهيجة تقام في مناسبات معينة كي تبقى ذكرى سعيد
293815,أَرْضٌ,يابسة حدودها غير مرتبطة بوجود ماء يحدها,awn3-08574028-n,مِلْكِيَّة|أَرْض,مقاطعة أو منطقة من الأرض يملكها شخص ما
293816,بَرٌّ,يابسة حدودها مرتبطة بوجود ماء يحدها من جهة أو أكثر,awn3-09357302-n,اليَابِسَة|بَرّ,الجزء الخارجي الصلب من القشرة الأرضية الذي لا يغطي
293819,مُرْتَفَعٌ,أرض منبعجة مرتفعة عما حولها من أرض,awn3-09389214-n,مرتفع,كتلة جغرافية طبيعية مرتفعة عن سطح الأرض
293823,صَحْرَاءُ|صَحَرَاءُ,أرض غير منبعجة يقل المعدل السنوي لتساقط الأمطار في,awn3-08522594-n,صَحْراء,الأرض القاحلة الجافة التي لا نبات فيها وتتصف بحرار
293824,سَهْلٌ2|مَرْجٌ,أرض منبسطة ذات تربة صالحة للزراعة,awn3-08609148-n,مَرْج,مساحة مسطحة خضراء ذات نبات ومرعى
293831,وادٍ|الوَادِي,أرض منخفضة ذات مساحة ضيقة، تكون ملتقى بين الجبال و,awn3-09491734-n,وَادِ,منخفض طبيعي على سطح الأرض يمتد عادة بين جبال أو هض
293835,طَوْدٌ|جَبَلٌ|طُورٌ,مرتفع يرتفع 600 متر فوق سطح الأرض اعتباراً، له قمة,awn3-09382700-n,جَبَل,كتلة يابسة وأحد التضاريس الأرضية يرتفع عما حوله من
293852,جَزِيرَةٌ,بر محاط بالماء من جميع الجهات,awn3-03592487-n,جَزِيرَة,منطقة أو مساحة منفصلة تشبه الجزيرة ويمكن الوصل إلي
54240,مَصْنَعٌ,معمل لتصنيع السّلع والبضائع بإنتاجيّة تعتبر عالية،,awn3-03321351-n,مَصْنَع|مَعْمَل,مؤسسة مجهزة بالآلات ومعدة لتصنيع المواد الأولية وإ
454231011,قَانُونِيٌّ,,awn3-01403566-a,قَانُونِي,مبني على قواعد وقوانين رسمية متفق عليها
293867,جَمَاعَةٌ,سيتم تعريفها لاحقا,awn3-00031563-n,مَجْمُوعَة|جَمَاعَة|زُمْرَة,عدد من الأفراد ( أشخاص أو أشياء ) يعتبر وحدة واحدة
454231022,مُحَكِّمٌ|مُحَكِّمَةٌ,,awn3-08346380-n,مَحْكَمَة|السُّلْطَة القَضَائِيَّة,اجتماع ( يضم قاضٍ أو أكثر ) للبت في أمر قضائي
454272031,رَاقِصٌ,,awn3-03135363-a,مُتَعَلِّق بالرّقْص|راقص,خاص أو يتضمن فن الرقص
46187,نَاحِيَةٌ|جِهَةٌ|اِتِّجَاهٌ,علاقة تدلل على موقع شيء معين زمانيا أو مكانيا أو ب,awn3-08697710-n,اِتِّجَاه|طَرِيق,الخط الذي تسلكه لتصل إلى مكان أو نقطة معينة اعتماد
48236,جُحْرٌ,مأوى على شكل حفرة، تأوي اليه صغار الحيوانات والحشر,awn3-15318858-u,جُحْرٌ,مأوى على شكل حفرة، تأوي اليه صغار الحيوانات والحشر
454395011,حَلَّاقٌ,,awn3-15319362-u,حَلَّاقٌ,
142519,طَرِيقٌ|سَبِيلٌ,منشط مخصص بهدف الانتقال من نقطة تواجد مكانية لأخرى,awn3-00174852-n,طَرِيق|سَبِيل,كيفية الوصول على شيء ما وتحقيقه
48428,قَرْيَةٌ,منطقة جيوسياسية مستقلة إدارياً، فيها تجمع سكاني أص,awn3-08662297-n,قَرْيَة|رِيف,منطقة خارج المدينة أو البلدة تتميزبخصبها وزرعها
454514121,لَحَّامٌ,,awn3-14742983-n,لِحَام,سبيكة سهلة الانصهار تتألف بشكل أساسي من القصدير وا
454514122,لِحَامٌ,,awn3-14742983-n,لِحَام,سبيكة سهلة الانصهار تتألف بشكل أساسي من القصدير وا
454211019,مُسْتَشَارٌ,,awn3-15319345-u,مُسْتَشَارٌ,
303042092,فِعْلٌ,(النحو والصرف) كلمة دالة على حدث وزمن وله في اللغة,awn3-06329055-n,فِعْل,كلمة تعبر عن حدث أو خبر في الجملة الإنكليزية
454291223,طبيب نفسي,,awn3-15319357-u,طبيب نفسي,
454291240,جرَّاحٌ,,awn3-15319358-u,جرَّاحٌ,
454111031,مُشَرِّعٌ,,awn3-10273692-n,مُشَرِّع,سياسي يقوم بوضع القوانين وإنفادها ويكون منتخباً من
253772,مَعْبَدٌ,موقع تدرك هويته من الوقائع العقائدية والتعبدية الت,awn3-04414821-n,مَعْبَد,صرح مخصص ليتعبد فيه الناس
454193039,عالم نفس,,awn3-10508450-n,عَالِم نَفْس,العالم المختص بعلم النفس الذي يدرس العقل والعواطف 
51090,مَدِينة1|مِصْرُ2,منطقة سياسية لها حدود جغرافية وادارية معروفة، وذات,awn3-15319094-u,مِصْرُ2,دولة معروفة في أقصى شمال شرق إفريقية يخترقها نهر ا
455000022,تَعَلُّمٌ,عملية إدراكية يحدث فيها تكيف سلوكي طويل الأمد نسبي,awn3-05760541-n,تَعَلُّم,العملية العقلية التي تتمثل في اكتساب المهارات والم
334000104,كَلِمَة وَظيفية,كلمة لها وظيفة نحوية مثل حروف الجر والعطف والشرط و,awn3-06302098-n,كَلِمَة وَظِيفِيَّة,كلمة لا يمكن تصريفها وتؤدي وظيفة نحوية ولا تؤدي ال
454533099,سَائِقٌ,,awn3-10054631-n,سَائِق,من يجلس وراء المقود في السيارة ويشغل السيارة ويقود
