matched_word,awn3_synset_id,ao_concept_id,awn3_words,new_words,awn3_gloss,ao_gloss
عنايه,awn3-00658847-n,47494,عِنَايَة|رِعَايَة,اِكْتِرَاثٌ|اِهْتِمامٌ|اِعْتِناءٌ|اِنْتِبَاهٌ|حَرْصٌ|حِرْصٌ|مُبَالَاةٌ,الاهتمام بشخص مريض أو مسن وتأمين احتياجاته ومستلزمات العلاج,عملية توجيه الحواس إلى التركيز على شيء محدد
سريه,awn3-08230899-n,46516,سَرِيَّة,عَرَمْرَمٌ|عَسْكَرٌ|لِوَاءٌ|كَتِيبَةٌ|جَحْفَلٌ|جَرَّارٌ|جَوْفةٌ|خَمِيسٌ|فِرْقَةٌ|جَيْشٌ|جُنْدِيٌّ|سِرْبٌ|فَوْجٌ|فَيْلَقٌ2,تشكيل تكتيكي أساسي يقسم الجيش بناء عليه وهو أصغر من القطعة,جماعة المحاربين في الحرب بمعداتها وعناصرها الحربية
اقفل,awn3-01350856-v,45882,أَقْفَلَ,أَرْتَجَ|رَتَجَ|أَزْلَجَ|أَطْبَقَ|أَطْبَقَ على|صَكَّ|غَلَّقَ|سَكَّرَ|قَفَلَ|أوْصَدَ|أوْصَدَ على|حَبَسَ|سَدَّ1|صَدَّ|رَدَّ|رَدَّ على|أغْلَقَ,يُحكِم الإغلاق بتثبيته بقفل,أحكم إيثاق المدخل أو المنفذ للشيء فلا يستطيع الخروج منه أو الوصول لما في داخله
شحذ,awn3-02275660-v,49796,شَحَذَ|تَسَوَّلَ,إِرْهَافٌ|سَنٌّ|صَقْلٌ,يطلب للحصول على شيء ما مجاناً,شحذ طرف السكين أو السيف وجعله أكثر حدة
صيت,awn3-14460852-n,48165,صِيت|شُهْرَة,سُمْعَةٌ|ذِكْرٌ,ظهور الشيء وانتشاره بكونه معروفاً لدى الناس معرفة واسعة,يرددها الناس بخصوص أحد الأشخاص
استجمام,awn3-00428583-n,47528,إسْتِجْمَام|تَسْلِيَة,اِنْشِرَاحٌ|اِسْتِرَاحَةٌ|اِسْتِرْخَاءٌ|دَعَةٌ|رَاحَةٌ,أي نشاط ترفيهي يسمح للأشخاص بقضاء وقت ممتع,عملية تضم بعض الممارسات الصحية والترفيهية المريحة للبدن والنفس
واصف,awn3-06331794-n,50090,وَاصِف,عَيَّنَ,كلمة تحدد أو تصف كلمة أخرى بحيث تجعل المعنى محدود,حَدَّد خصائص ومواصفات مطلوبة لشيء معين .
حاسب,awn3-02325354-v,54523,حَاسَبَ,حاسَبَ على,يطلب منه دفع المال,حَسَبَ له أعماله ما أحسن منها وما أساء ثم كافئه على ما أحسن وعاقبه على ما أساء
حلقوم,awn3-05555141-n,53710,حُلْقُوم|حَنْجَرَة,حَلْقٌ,جزء داخل الرقبة يشترك في التنفس وإنتاج الأصوات يتصل بالفم وبالقصبة الهوائية,التجويف الذي يلي تجويف الفم قبل البلعوم ويحتوي على لحمة زائدة تسمى اللهاة وفي آخره في بداية البلعوم 
تغويز,awn3-13507473-n,48128,تَغْوِيز,تَغَوُّزٌ|تَغَوَّزَ|غَوَّزَ,عملية كيميائية يتم فيها تحويل مادة إلى غاز باستخدام الحرارة,عملية تحوُّل الشيء من الحالة السائلة إلى الحالة الغازية
تغريد,awn3-07394177-n,46461,تَغْرِيد,إِنْشَادٌ|غِنَاءٌ|طَرَبٌ|صَدْحٌ|تَرْتِيلٌ|نَغْمٌ2|نَغَمٌ|نَشِيدٌ|شَدْوٌ,سلسلة من الزقزقات، صوت الطيور,خِفَّةٌ وهِزَّةٌ تثير النَّفْسَ لفرحٍ أَو حُزْنٍ أَو ارتياح وتكون بصوت جميل
خرامه,awn3-04029643-n,53557,خَرَّاَمَة,سُنْبُكٌ|مِثْقَابٌ|مِثْقَبٌ|مِخْرَمَةٌ|مِخْرَازٌ,أداة مكتبية تستخدم في عمل ثقوب في الأوراق لوضعها في الملفات، أو في البطاقات,أداة تستخدم لصنع فتحات نافذة في الورق أو غيره من المواد
تقزز,awn3-07519350-n,50065,غَثَيان|تَقَزُّز,اِشْمِئْزازٌ,الكره لدرجة القرف والغثيان,حالة يحصل فيها جيشان النفس واضطرابها والاستعداد للقَيء
كتيب,awn3-02873887-n,52757,كتيب,كُرَّاسَةٌ|دَلِيلٌ,عدد من الصفحات المتصلة ببعضها على طرف واحد,كتاب صغير يحتوي على تعليمات وإرشادات تخص شيئًا معين
قارئ,awn3-10528303-n,49624,قَارِئ,مُطالِعٌ|دَارِسٌ2,من يستمتع بقراءة الكتب وتكون هواية له,صفة الإنسان المدأوم والمكثر من القراءة لمختلف الميادين
ودع,awn3-00902724-v,50808,وَدَّعَ,شَيَّعَ,يقول كلمات الواداع عندما يغادر,فارق شخص محيياً له
عاهل,awn3-10648006-n,46550,مَلِك|عَاهِل,قَيْصَرٌ|أَمِيرٌ|عَظِيمٌ|حاكِمٌ|إِمْبِرَاطُورٌ|فِرْعَونٌ|شَاهٌ,حاكم البلاد ورئيسها ويأتي عادة بالوراثة في العائلة,صَاحبُ الأَمر والسلطة على أُمَّة أَو قبيلة أَو بلاد
مجهر,awn3-03766206-n,48360,مِجْهَر,مِقْرَابٌ|تِلِسْكُوبٌ|مِرْقَبٌ|مَرْقَبٌ|مِرْصَادٌ|مِنْظَارٌ,جهاز لتكبير الأشياء التي لا يمكن رؤيتها بالعين المجردة,مصنوع آلَةٌ بَصَرِيَّةٌ تُكَبِّرُ الأجْسامَ فَيُرَى بِواسِطَتِها إمّا ما لا يُرَى بِالعَيْنِ المُجَر
زواج,awn3-13987306-n,46229,زَواج,تَأَهُّلٌ|قِرَانٌ|اِقْتِرانٌ|زِفَافٌ|زِيجَةٌ|عُرْسٌ|بَاءَةٌ|نِكاحٌ,اقتران الرجل بالمرأة وفق عقد قانوني مدى الحياة أو حتى الطلاق,ارتباط رجل وامرأة بعقد رسمي ليعيشا مع بعضهما في بيت واحد لينجبا الأطفال لتكوين عائلة
تحليه,awn3-07625449-n,47913,تحلية,تَنْمِيقٌ|تَزْيِينٌ|زَخْرَفَةٌ|تَحْسِينٌ|تَجْمِيلٌ,الطبق الذي يقدم كختام للوجبة,عملية يتم فيها جعل الشيء يبدو أفضل للعين وأكثر استحساناً مما كان عليه في السابق
ذوبان,awn3-13587738-n,47826,ذَوَبَان|انصهار,اِسْتِذَابَةٌ|إِذابَةٌ|صَهْرٌ|تَفَكَّكَ,تغير حالة المادة من الصلبة إلى السائلة بواسطة الحرارة,عملية تحوّل السائل بفعل الحرارة من الحالة الصلبة إلى الحالة السائلة
بومه,awn3-01623768-n,48034,بُومَة,صَادٍ|صَدَىً|هَامَةٌ,طائرجارح ليلي بمنقار يشبه الصقر بجسم صغير ورأس كبير بعيون أمامية,طائر من كواسر اللَّيل يشبه الصقور ، له مخالب معقوفة ورأس كبير ومنقار معقوف قصير وعيناه كبيرتان مُكيَ
تغذي,awn3-01182162-v,46679,تَغَذَّى|أَكَلَ,نَهَشَ|اِسْتَرَطَ|خَضَمَ|ذَاقَ|زَرِدَ|اِزْدَرَدَ|طَعِمَ|لَقِمَ|لَهِمَ|اِغْتَذى|بَلَعَ|اِبْتَلَعَ|قَضَمَ|اِقْتاتَ|اِقْتاتَ ب|مَضَغَ|أَكَلَ1,يتناول الطعام، تستخدم للحيوانات,وضع الطَعَام في فمه ثم مضغه حتى ينزل في جوفه
تحضير,awn3-01146646-n,47451,تَحْضِير,إِعْدَادٌ|تَجْهِيزٌ,التهيئة والإعداد لأمر ما,عملية توفير المواد والأدوات والقيام بالترتيبات اللازمة للقيام بعمل ما
اصفر,awn3-00103373-v,47276,شَحِبَ|اِصْفَرَّ,صَفِرَ1|خَرِبَ|خَوِيَ|أَقْفَرَ|أَوْحَشَ|خَلَا1|خَلَا عن|خَلَا مِن,يفقد لون الجلد الطبيعي ويتحول إلى الأصفر أو الباهت بسبب المرض أو الخوف,فَرَغَ الشيء مما فيه وأصبَحَ خأوياً لا يحتوي على شي
تعليمات,awn3-07184731-n,54155,تَعْلِيمَات|تَوْجِيهَات,تَوْجِيهٌ,أوامر من جهة عليا أو قيادية لتنفيذ أو منع شيء ما,نشرة تتضمن خطوات تشغيل الأجهزة، أو تصف طريقة العمل الخاصة بإحدى العمليات الصناعية
مؤهل,awn3-04724415-n,54230,مُؤَهِّل,مُؤَهَّلةٌ|كُفُؤٌ,مجموعة المعارف والقدرات والمهارات والصفات العامة والشهادات الدراسية والتدريبات التي حصل عليها الفرد ,هو وجود صفات في الإنسان تجعله صالحاً للقيام وتولّي أمرٍ معيَّن
فيلسوف,awn3-10443334-n,50389,فَيْلَسُوف,حَكِيمٌ,الشخص الذي يمارس الفلسفة ويفكر من خلالها ويؤلف فيها محاولاً الإجابة عن الأسئلة الفلسفية الشهيرة حول ,صاحب الرأي السَّديد والأقوال والأفعال النبيلة
ميوعه,awn3-14504004-n,54377,سُيُولَة|مُيُوعَة,سُيُوبَةٌ,الحالة التي تكون فيها المادة سائلة ولها قابلية للتدفق والسيلان وغير قابلة للانضغاط,مقدار قدرة المادة على التدفق والسيلان وغير قابلة للانضغاط
تمرين,awn3-00897199-n,46405,تَمْرِيْن,تَعْوِيدٌ|تَمَرُّسٌ|مِرَانٌ|تَعَوُّدٌ|برُوفَةٌ|اِخْتِبَارٌ|مُزَاوَلَةٌ|خِبْرَةٌ|تَدْريبٌ|تَجْرِبَةٌ|تَطْبِيقٌ|فِعْلٌ|إِجْرَاءٌ|مُحَاوَلَةٌ|مِرَاسٌ|دُرْبَةٌ|مُمَارَسَةٌ1,تدريب منظم ومتكرر,فحص منظَّم لظاهرة ما، يُرادُ ملاحظتها ملاحظة دقيقة ومنهجية للكشف عن نتيجة مّا ، أَو تحقيق غرض معيّن 
شحوب,awn3-04707844-n,47508,شُحُوب,سُهَامٌ|غَثَاثَةٌ|هُزَالٌ|ضَآلَةٌ|ضَمْرٌ|ضُمْرٌ|ضُمُورٌ|ضَوَىً|ضَعْفٌ|ضُعْفٌ|عَجَفٌ|نُحولٌ|نَحَافَةٌ,تغير لون الجلد ليصبح بلون أفتح من لونه الطبيعي بسبب المرض او صدمة ما,حالة من الضعف والتقلص في الجسم ناتجة عن خلل يطرأ على أجهزة جسم الكائن الحيّ كنقص غذائي
اخاف,awn3-01783082-v,46253,أَخَافَ,ذَعَرَ|أَذْعَرَ|فَزَّعَ|أَفْزَعَ|خَشَّى|أَرْعَبَ|رَعَّبَ|أَرْهَبَ|راعَ2|أَرَاعَ|رَوَّعَ|أوْجَلَ|خَوْفٌ|خَوَّفَ|فَرَّقَ,يزرع الخوف والذعر عند الآخر,جعل مشاعر الخوف والروع تستحوذ على شخص ما مسببا له التوتر
اختمار,awn3-13596636-n,53639,تَخَمُّر|اِخْتِمار,تَخْمِيرٌ,عملية كيميائية يتم فيها تحلل المواد العضوية حيث تتحول الكربوهيدرات والسكريات إلى أحماض وكحول بفعل مي,عملية حيوية يتم فيها تفكيك روابط المواد والجزيئات الكربوهيدراتية كالسكر لإنتاج الطاقة وينتج مع الطاق
حيوان قارض,awn3-02332053-n,293388,حَيَوَان قَارِض,كَائِنٌ قَارِضٌ,حيوانات ثديية قاضمة صغيرة نسبياً لها زوج واحد من الأسنان الحادة الأمامية المستمرة في النمو والمخصصة ,كائن ثدييّ مشيميّ يمتلك قواطع أماميّة طويلة قويّة تنمو باستمرار مع نموّ الكائن
حراثه,awn3-00918295-n,46963,حِرَاثَة,حَرْثٌ|زَرْعٌ|زِرَاعَةٌ|فَلْحٌ|فِلَاحَةٌ,إنتاج الغذاء عن طريق إعداد الأرض وتهيئتها لزراعة المحاصيل,شقّ الأرض بآلة حديدية خاصة أو ما شابه، تخترق الأرض لدرجة معيّنة وتقوم بتقليب التربة لتجهيزها للبذار
ارتشف,awn3-01172967-v,45922,اِرتَشَفَ,نَهِلَ|رَشِفَ|تَمَصَّصَ|اِجْتَرَعَ|جَرَعَ|تَجَرَّعَ|اِغْتَرَف|بَلَعَ|اِبْتَلَعَ|نَغَبَ|رَشَفَ|تَرَشَّفَ|حَسا|اِحْتَسَى|تَمَزَّزَ|مَصَّ1|مَصَّ2|اِمْتَصَّ|عَبَّ2|عَلَّ2|جَرْعٌ|شَرِبَ|كَرَعَ في,يشرب السائل برشفات صغيرة,إدخال الطعام السائل إلى الجوف
رذاذ,awn3-15081108-n,49139,رَذاذ,رَشَّاشٌ|نَضْحٌ,قطرات مياه صغيرة سائلة متطايرة في الجو,المطرُ أو الماء الضعيفُ ، أَو الساكن الدائم الصغير القطر كأَنَّه الغبار
مهزوم,awn3-07962721-n,47543,مَهْزُوم,خائِبٌ|ضَعِيفٌ|فاشِلٌ|خاسِرٌ,الناس الذين انتصر عليهم شيء أو شخص,صفة الشخص الذي يخفق في العمل الذي يقوم به
سناج,awn3-14817703-n,48898,سِنَاج|سُخَام,قُتَارٌ|هَبَابٌ|دُخَّانٌ|أُوَامٌ,جسيمات الكربون السوداء الناتج عن الاحتراق غير الكامل للهيدروكربونات تتكون بشكل أساسي من كربون غير مت,ذات لون أسود لزجة تنتج عن لت تتصاعد من دقائق الوقود غير المحترقة
امراه,awn3-10807146-n,47756,إِمْرَأَة,غَادَةٌ|أُنْثى|مَرْأَةٌ,الامرأة الأنثى البالغة,الكائن الحي الذي لديه الاستعداد البيولوجي للولادة
انحاز الي,awn3-02666897-v,51472,نَاصَرَ|أَيَّدَ|اِنْحَازَ إلى,تَحَيُّزٌ|حَابَى|تَحَزَّبَ|تَحَزَّبَ على|تَحَزَّبَ ل|اِنْحَازَ|اِنْحَازَ عَنْ|تَحَيَّزَ إلى2|تَحَيَّزَ إلى1|تَحَيَّزَ ل|تَعَصَّبَ|تَعَصَّبَ ل|تَعَصُّبٌ,,غلو التعلق بشخص أو فكرة أو مبدأ أو عقيدة حيث لا يُدَع مكانا للتسامح ، وهو ضرب من الحماسة الشديدة تؤد
مداليه,awn3-06719615-n,49682,مدَالِيَة|وِسام,نِيشَانٌ|نَوْطٌ,جائزة رمزية للفوز ببطولة أو إكليل لإحياء ذكرى,مصنوع معدني على شكل أو رمز معين يعطى للفائز بمسابقة أو لامتلاكه صفة أو موهبة نادرة
سقايه,awn3-00279247-n,51669,سقاية,سَقْيٌ|رِيٌّ,التبليل بالماء الغزير,عملية وضع الماء على المزروعات حتّى تنمو وتتغذَّى
نترات,awn3-15040068-n,49970,نِتْرات,أَزُوتَات|آزُوتَات,أي مركب يحتوي على مجموعة النترات (مثل ملح حمض النيتريك),مركب كيميائي يتكون من ذرة نيتروجين وثلاث ذرات أكسجين
سلح,awn3-02339863-v,47515,سَلَّحَ,بِرَازٌ|غَائِطٌ1|نَجْوٌ|خَرْءٌ|خُرْءٌ,يزود بالسلاح,الفضلات التي تخرج من جسم الكائن الحي وتكون ناتجة عن عمليات الأيض في جسمه ولا يستخدمها الجسم
جاع,awn3-01191018-v,46929,اِحْتاج إلى|رغِب بـ|تاق إلى|احتاج|اشتهى|التمس|تاق|جاع|حرم|حن|رغب|رغب في الجماع|طلب ملتمسا|عانى الجوع|مات جوعا,طَوَى1|ضَرِمَ|تَضَوَّرَ|سَغِبَ|خَمَصَ,يكون لديه رغبة قوية في شيء ما,خلو المعدة من الطعام تلوّى وصاح من اشتداد جوعه وحاجته للطعام
تشغيل,awn3-00045991-n,52822,تَسْيِير|تشغيل,تَصْرِيفٌ|قِيَادَةٌ|إِدَارَةٌ,عملية وضع الآلة قيد العمل أو وضع العملية قيد التفعيل,عملية تسيير أعمال مؤسسة أو شركة و الإشراف على عمل باقي الأفراد فيها
زبل,awn3-14887672-n,47210,زِبْل,لَقَّحَ|سَمَّدَ|أَخْصَبَ|خَصَّبَ,أي مادة حيوانية أو نباتية تستخدم لتخصيب الأرض، خاصة فضلات الحيوانات الصلبة,وَضع مادة مغذيّة على التراب حتى لتصلح الأرض للزراعة وتتحسن جودتها
قاطره,awn3-03690149-n,48685,قَاطِرَة,سَيَّارَةٌ|مَرْكَبَةٌ|عَرَبَةٌ|عَجَلَةٌ|حَافِلَةٌ|دُولَابٌ,مركبة ذات عجلات مخصصة لحمل محرك ذاتي الحركة يستخدم في سحب وجر القطارات خلفها على طول السكة الحديدية,أداة تستخدم للتنقل
اقتحام,awn3-00976848-n,46429,اِقْتِحَام,اِكْتِسَاحٌ|غَزْوَةٌ|إِغَارَةٌ|كَرٌّ|كَرَّةٌ|اِعْتِداءٌ|اِجْتِيَاحٌ|غَارَةٌ|هُجُومٌ|اِنْدِفَاعٌ|غَزْوٌ|حَمْلٌ|حَمْلَةٌ|تَهَجُّمٌ,اعتداء مفاجئ وعنيف على معقل يحتمي فيه العدو,الاعتداء بالجيش والعتاد على مكان بأناسه دون رحمة
انشغل,awn3-00602438-v,46295,اِنْشَغَلَ|اِنْغَمَسَ|شَغَلَ|اِنْهَمَك,سَها إلى|سَها عن|سَها في|اِلْتَهَى ب|اِلْتَهَى عن|تَلَهَّى ب|تَلَهَّى عن|تَغَابَى|تَغَابَى عن|تَغَاضَى عن|غَفَلَ|غَفَلَ عن|غَفَلَ من|تَغافَلَ|تَغافَلَ عن|غَفَا|فَتَرَ|فَتَرَ إلى|فَتَرَ عن|فَتَرَ في|فَرَّطَ|فَرَّطَ في|سَلا|سَلا عن|تَشَاغَلَ|تَشَاغَلَ ب|تَشَاغَلَ عن|اِنْشَغَلَ بِ|اِنْشَغَلَ عَنْ|نَسِيَ|تَناسى|تَراخى عن|تَراخى في|تَهاوَنَ ب|تَهاوَنَ في|تَوانى عن|تَوانى في|قَصَّرَ|قَصَّرَ عن|قَصَّرَ في|قَصَّرَ من|أَهْمَلَ|تَجَاهَلَ|تَرَكَ|أَغْفَلَ|كَسِلَ|لَهَا عن,ينشغل بالشيء وينهمك فيه كلياً,ترك فعل الشيء وقصَّر فيه عَمْداً أو نسياناً
اري,awn3-02141597-v,47865,أَرَى,شَهْدٌ|شُهْدٌ|عَسَلٌ|صَبِيبٌ|جَنَىً|شَوْبٌ,يستعرض شيئاً ويجعله مرئياً وملحوظاً,مادة حلوة المذاق ينتجها النحل من رحيق الأزهار وتستخدم في العلاج والشفاء
مشرد,awn3-07964900-n,46801,مشرد,فَارٌّ|مُبْعَدٌ|مُلْقَىً|مَطْرُودٌ|مَحْرُومٌ|مَذْمُومٌ|مَطْرُوحٌ|مَقْذُوفٌ|طَرِيدٌ|مَنْفِيٌّ|مَرْمِيٌّ|مَلْقًىً|مَتْرُوكٌ|مَعِيبٌ|خَالٍ|مَهْجُورٌ|مَنْبوذٌ,الناس الذين ليس لديهم مأوى,الإبعاد والحرمان من البقاء في المكان بسبب عملٍ قام به
غباء,awn3-04898528-n,46565,غَبَاء|حَمَاقَة,خَبَلٌ|غَبَاوَةٌ|أَفْنٌ|بَلَاهَةٌ|بَلَهٌ,سمة مذمومة تعني نقص الذكاء والعقل، وضعف التصرف في المواقف التي تواجه الإنسان,فساد الرأي وتفاهة التصرف وقد تكون ناتجة عن حالة تدهور مرضي من أخص ظواهرها اضطراب التفكير.
سويه,awn3-00117417-r,46884,سَوِيَّةً|مَعًا,إِنْصَافٌ|حَقٌّ|قِسْطٌ|صِدْقٌ|عَدَالَةٌ|عَدْلٌ|اِسْتِقَامَةٌ,مع بعضهم البعض في نفس الوقت,وصف لعملية المماثلة في التعامل بين الجميع دون محاباة لأحد على حساب الآخر وإعطاء كل ذي حق حقّهه
اقراض,awn3-01096649-n,47362,إِقْرَاض,تَسْلِيفٌ|إِعارَةٌ|إِدانةٌ,إعطاء شيء من المال أو الممتلكات لأحدهم مع الاتفاق على استرداده أو ما يماثله,إعطاء شخص شخصاً آخر شيئاً ما ينتفع به فترة من الزمن ثم يعيده
افتراض,awn3-05900703-n,50877,اِفْتِرَاض,اِنْتِهَازٌ|اِغْتِنَامٌ,المسلمات التي يستند إليها الباحث في تقسير نتائجه,الاستفادة من فرصة متاحة قبل فوات وقتها بشكل جيد ولصالح الشخص
معصم,awn3-05592578-n,51713,مِعْصَم|رُسْغ,مَرْفِقٌ|مِرْفَقٌ|زَنْدٌ2|كُوعٌ,العظام المكونة للجزء الهيكلي القريب من اليد,موصل طرف الذراع في الكفّ
التقي,awn3-02492581-v,46318,قَابَلَ|اِلْتَقَى,رَكَمٌ|اِجْتَمَعَ|اِجْتَمَعَ ب|تَجَمْهَرَ|تَلَاقَى|اِنْدَمَجَ في|اِحْتَشَدَ|اِحْتَشَدَ ب|اِحْتَشَدَ ل|حَفَلَ|حَفَلَ ب|حَفَلَ ل|اِلْتَأَمَ|اِنْضَمَّ|اِنْضَمَّ إلى|اِنْضَمَّ على|تَأَلَّبَ|تَأَلَّبَ على|اِلْتَقى ب|تَرَاكَمَ|تَكَتَّلَ|تَجَمَّعَ|رَكْمٌ|نَدَا,يجتمع مع الشخص لسبب اجتماعي أو لغرض معين,اجتماع الناس حول أمر ما أو مكان لمشاهدة شيء
شفهي,awn3-02834859-a,53099,لَفْظِي|شَفَهِي,شَفَوِيٌّ,خاص بالكلام والألفاظ أو يتألف منه,صفة القول المحكي باللسان وغير المكتوب
ارث,awn3-00084405-n,47770,إِرْث|مِيرَاث,تَرِكَةٌ|تِرْكَةٌ,مايتركه الشخص من منصب أو لقب أو ممتلكات قبل وفاته,وصف للموجودات المادية الذي يخَلَّفَهُابعد وفاته لأبنائه وأقاربه مِنْ أَثَاثٍ وَأَمْوَالٍ وَعَقَارٍ و
تلهف,awn3-01809651-v,46110,تَاقَ|اِشْتَهَى|تَلَهَّفَ|تَشَوَّقَ,وَلَهٌ|اِشْتِياقٌ|لَهْفَةٌ|حَنِينٌ|تَوْقٌ|صَبَابَةٌ|صَبْوَةٌ|رَغْبَةٌ|وَجْدٌ|نَزْعةٌ|نُزوعٌ|شَوْقٌ,يعاني من شدة الشوق والرغبة لشيء أو لشخص غير موجود,عملية شعورية الاشتياق واللهفة لرؤية شخص ما تحبه
احتياج,awn3-14472592-n,45866,اِحْتِيَاج|عَوَز|حَاجَة,إِمْلَاقٌ|إِقْفَارٌ|اِفْتِقارٌ|ضُرٌّ|عُسْرٌ|عُسْرَةٌ|مَسْكَنَةٌ|شَظَفٌ|مَتْرَبَةٌ|ضَرَّاءُ|ضَنْكٌ|ضِيقةٌ|عَدَمٌ|ضَعْفٌ|ضُعْفٌ|فَقْرٌ|شِدّةٌ|نَقْصٌ|عَيْلَةٌ|عَالَةٌ|عُدْمٌ|نَفادٌ|شَقَاءٌ|بُؤْسٌ|خَصَاصَةٌ|فَاقَةٌ|إِفْلاسٌ|حِرْمَانٌ|تَعَسُّرٌ|ضِيقٌ,نقص ما هو ضروري ويفتقر إليه الإنسان لفك ضيقه ووصوله إلى حالة الارتياح,حالة من الفقدان والنقص لجانب من جوانب الحياة الضرورية للعيش، تُنتج فقد استقرار و توازن وضيق في الحال
متزامن,awn3-02386219-a,51368,مُتَزَامِن,مُتَوَاقِتٌ|مُطَابِقٌ|تَزَامُنِيٌّ|مُتَلَازِمٌ,يحدث أو يتم فعله في نفس الوقت وفي مكانين منفصلين,ما يتفق ويترافق مع غيره في الزَّمن
احمر,awn3-00103071-v,46392,اِحْمَرَّ,عَنْدَمٌ|مُتَوَرِّدٌ|عِنَّابِيٌّ|قِرْمِزِيٌّ|أُرْجُوَانِيّ|وَرْديٌّ,تصبح الخدود باللون الوردي بسبب الارتباك عادة,صفة مادية للون كلون الدم وتتفاوت بالدرجة
حديقه,awn3-03422255-n,46689,حديقة,مَقْطَنَةٌ|مُسْتَنْبَتٌ|فِرْدَوْسٌ|بُستانٌ|غُوطَةٌ|غَيْطٌ1|مَزْرَعَةٌ|قَصَبَةٌ|مَقْصَبَةٌ|جُنَيْنَةٌ|ضَيْعَةٌ|جَنَّةٌ|رِيفٌ|حَقْلٌ|أيْكَةٌ|مَرْجٌ|مَرَجٌ|رَوْضٌ|خَمِيلَةٌ 1|رَوْضَةٌ,قطعة من الأرض تزرع فيها النباتات,مكان فيه الزَرْع والخِصْبيحيط بها الشجر والنخيل
تمعن,awn3-00632042-v,47497,تَمَعَّنَ|تَفَكَّرَ|تَأمَّلَ,تَمَعَّنَ في|فَحَصَ|فَحَصَ عن|تَفَحَّصَ|تَفَحَّصَ عن,يفكر في الموضوع كثيراً,عملية الاستغراق في النظر إلى الشيء أو التفكّر فيه
سلطعون,awn3-01979598-n,53186,سَلطَعُون,سَرَطانٌ,من عشاريات الأرجل لها عيون على سيقان قصيرة ودرع عريض مسطح مع بطن صغير مطوي تحت الصدر وكماشات,حيوانٌ بحريُّ من القشريات العشريات الأرجل ذو مِلْقَطَيْنِ قَوِيَّيْنِ وَ مِنْهُ أَنْواعٌ تُؤْكَلُ
اشتكي,awn3-00909100-v,303029728,اِشْتَكَى|تَذَمَّر,اِشْتَكى إلى|اِشْتَكى من,يعبّر عن الاستياء، عدم الرضا، الألم أو الانزعاج الخ,اشتكى إلى فلان:- لجأ إليه ليُزيلَ شكواه <قَدْ سَمِعَ اللهُ قَوْلَ الَّتِي تُجَادِلُكَ فِي زَوْجِهَا 
